Nombre Completo,Institución de Adscripción,Área del Conocimiento
DRA. HERNANDEZ LOPEZ SILVIA HORTENCIA,"AGROPECUARIA EL AVION, S. DE P.R. DE R.L.",Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. FINKELSTEIN SHAPIRO DANIEL,ARIZONA STATE UNIVERSITY,Área II: BIOLOGÍA Y QUÍMICA
DR. ALEJO JAIME ANTONIO,"ASOCIACION MEXICANA DE BIOLOGIA SINTETICA, A.C.",Área V: CIENCIAS SOCIALES
MED. GIL CARRASCO FELIX,"ASOCIACION PARA EVITAR LA CEGUERA EN MEXICO, I.A.P.",Área III: MEDICINA Y CIENCIAS DE LA SALUD
M. EN C. RUIZ CRUZ MATILDE,"ASOCIACION PARA EVITAR LA CEGUERA EN MEXICO, I.A.P.",Área III: MEDICINA Y CIENCIAS DE LA SALUD
MED. JIMENEZ ROMAN JESUS,"ASOCIACION PARA EVITAR LA CEGUERA EN MEXICO, I.A.P.",Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. HERNANDEZ ZIMBRON LUIS FERNANDO,"ASOCIACION PARA EVITAR LA CEGUERA EN MEXICO, I.A.P.",Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. FROMOW GUERRA JORGE JANS,"ASOCIACION PARA EVITAR LA CEGUERA EN MEXICO, I.A.P.",Área III: MEDICINA Y CIENCIAS DE LA SALUD
MED. QUIROZ MERCADO HUGO,"ASOCIACION PARA EVITAR LA CEGUERA EN MEXICO, I.A.P.",Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. BENAVIDES PERALES GUILLERMO,BANCO DE MEXICO,Área V: CIENCIAS SOCIALES
DRA. ALEXANDROVA KABADJOVA BILIANA,BANCO DE MEXICO,Área V: CIENCIAS SOCIALES
DR. MARTINEZ JARAMILLO SERAFIN,BANCO DE MEXICO,Área V: CIENCIAS SOCIALES
DR. IBARRA RAMIREZ RAUL,BANCO DE MEXICO,Área V: CIENCIAS SOCIALES
DR. BATIZ ZUK ENRIQUE EUGENIO,BANCO DE MEXICO,Área V: CIENCIAS SOCIALES
DRA. LOPEZ NORIA GABRIELA,BANCO DE MEXICO,Área V: CIENCIAS SOCIALES
DR. CARRILLO ABREGO JULIO ARTURO,BANCO DE MEXICO,Área V: CIENCIAS SOCIALES
DR. TELLO BRAVO BENJAMIN,BANCO DE MEXICO,Área V: CIENCIAS SOCIALES
DR. BOONMAN sin apellido Materno TJEERD MENNO,BANCO DE MEXICO,Área V: CIENCIAS SOCIALES
DR. ALFARO MONTUFAR CARLOS ALEJANDRO,BANCO DE MEXICO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR. VARGAS MAGAÑA MARCOS CESAR,BANCO DE MEXICO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR. ROMAN RANGEL EDGAR FRANCISCO,BANCO DE MEXICO,Área VII: INGENIERÍAS
DR. DOMINGUEZ MEDINA CHRISTIAN HORACIO,BANCO DE MEXICO,Área VII: INGENIERÍAS
DR. MOYA SANCHEZ EDUARDO ULISES,BARCELONA SUPERCOMPUTING CENTER,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DRA. MONTERRUBIO VELASCO MARISOL,BARCELONA SUPERCOMPUTING CENTER,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR. CRUZ HIPOLITO HUGO ENRIQUE,"BAYER DE MEXICO, S.A. DE C.V.",Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. POLANCO MARTINEZ JOSUE MOISES,BC3 BASQUE CENTRE FOR CLIMATE CHANGE,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DRA. CANO RUIZ AMANDA,BENEMERITA ECUELA NORMAL VERACRUZANA ENRIQUE C. REBSAMEN,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA. AGUILAR DAVIS VIRGINIA,BENEMERITA ECUELA NORMAL VERACRUZANA ENRIQUE C. REBSAMEN,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR. GNECCO MEDINA DINO HERNAN,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. REYES LUNA ROSALINA MARIA DE LOURDES,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. GUTIERREZ PEREZ JAIME RENE,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. SANDOVAL RAMIREZ JESUS,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. GONZALEZ VERGARA ENRIQUE,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. DAVILA JIMNEZ MARTIN MARINO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. EGUIBAR CUENCA JOSE RAMON,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. QUINTERO CORTES LETICIA MARIA GUADALUPE,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. HERRERA CAMACHO IRMA PILAR,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. ARROYO CARRANZA SANDRA LUZ MARIBEL,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. BRAMBILA COLOMBRES EDUARDO MIGUEL,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. FLORES SEGURA HENOC,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. ORTIZ MARQUEZ JOSE AURELIO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. MANJARREZ LOPEZ ELIAS,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. SANCHEZ ALONSO MARIA PATRICIA GEORGINA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. MOYAHO MARTINEZ ALEJANDRO CLEMENTE,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. JUAREZ POSADAS JORGE RIGOBERTO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. GIRON ORTIZ JORGE ALBERTO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. TERAN VAZQUEZ JOEL LUIS,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. SCIOR sin apellido Materno THOMAS RAINER FRIEDRICH,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. CASTAÑEDA LUCIO MIGUEL,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. BERNES FLOURIOT SYLVAIN JEAN,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. CABRERA VIVAS BLANCA MARTHA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. REYES Y ORTEGA MARIA GRACIELA YASMI,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. GONZALEZ OREJA JOSE ANTONIO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. MEZA REYES MARIA DEL SOCORRO ARACELI,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. SILVA GOMEZ ADRIANA BERENICE,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. SARTILLO PISCIL FERNANDO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
