artist.name,terms,release.name
Casual,hip hop,Fear Itself
The Box Tops,blue-eyed soul,Dimensions
Sonora Santanera,salsa,Las Numero 1 De La Sonora Santanera
Adam Ant,pop rock,Friend Or Foe
Gob,pop punk,Muertos Vivos
Jeff And Sheri Easter,southern gospel,Ordinary Day
Rated R,breakbeat,Da Ghetto Psychic
Tweeterfriendly Music,post-hardcore,Gin & Phonic
Planet P Project,new wave,Pink World
Clp,breakcore,Superinstrumental
JennyAnyKind,alternative rock,I Need You
Wayne Watson,ccm,The Way Home
Andy Andy,bachata,Placer & Castigo
Bob Azzam,chanson,Arrivederci
Lionel Richie,quiet storm,Dancing On The Ceiling
Blue Rodeo,country rock,Outskirts
Richard Souther,chill-out,Cross Currents
Faiz Ali Faiz,qawwali,Panjtan Ka Ghulam
Tesla,hard rock,Gold
lextrical,indietronica,Whatever Happened To Boredom?
Jimmy Wakely,classic country,1942-1952 Jimmy Wakely
Alice Stuart,electric blues,All The Good Times
Elena,uk garage,Un cafe_ setanta matins
The Dillinger Escape Plan,math-core,Miss Machine
SUE THOMPSON,pop rock,Sue Thompson - Her Very Best
Five Bolt Main,post-grunge,Live
Clp,breakcore,Strictly Confidential
Tim Wilson,filk,The Real Twang Thang
Willie Bobo,latin jazz,Willie Bobo's Finest Hour
Faye Adams,jump blues,Shake A Hand
Terry Callier,soul jazz,Occasional Rain
John Wesley,disco,The Emperor Falls
The Shangri-Las,doo-wop,Best of The Shangri-Las
Billie Jo Spears,classic country,20 Of Her Best
Mike Jones (Featuring CJ_ Mello & Lil' Bran),rap,Who Is Mike Jones?
Sierra Maestra,charanga,Tibiri Tabara
Butthole Surfers,noise rock,Piouhgd + Widowermaker!
Despina Vandi,dance pop,Profities
Javier Navarrete,orchestra,Cracks
Jacob Young,cool jazz,Pieces Of Time
Scarlet's Remains,gothic metal,The Palest Grey
The Suicide Machines,ska punk,A Match & Some Gasoline
The Rolling Stones,blues,Jump Back - The Best Of The Rolling Stones_ '71-'93
Roberto Torres,salsa,Lo Mejor con La Orq. Broadway
Loudon Wainwright III,modern rock,Grown Man
R.L. Burnside,delta blues,A Bothered Mind
Stevie Ray Vaughan,texas blues,Greatest Hits
John Hammond,blues,Bluesman
Casiotone For The Painfully Alone,trip hop,Etiquette
Ec8or,hardcore techno,Ec8or
The New York Dolls,glam rock,Too Much Too Soon
Eliane Elias,brazilian jazz,Bossa Nova Stories
Lost Boyz,gangster rap,Love_ Peace & Nappiness
The Germs,rock,Germicide
Yamandu Costa,brazilian jazz,MafuA!
Chris Rea,soft rock,The Road To Hell Part 2
Perrey And Kingsley,easy listening,Vanguard Visionaries
Eurythmics,dance rock,Be Yourself Tonight
Francis Dunnery,singer-songwriter,Hometown 2001
John Cale,experimental rock,Eat / Kiss: Music For The Films By Andy Warhol
Suzanne Ciani,meditation,The Ultimate Most Relaxing New Age Piano in the Universe
Vickie Winans,ccm,Classic Gold: Best of All
The Berzerker,speedcore,The Berzerker
Kings Of Leon,southern rock,Holy Roller Novocaine
Edith Lefel,zouk,Jeux de dames_ vol. 1 (rA(c)alisation Ronald Rubinel)
Taras,trance,I Will Love Again
NOFX,punk,White Trash ......
Murskahumppa,suomi rock,Murskapunkkia
Soda Stereo,rock,CanciA3n Animal
Bruce Rowland,easy listening,The Man from Snowy River
Xcultures,gabba,One World One People
White Heart,ccm,Tales Of Wonder
Heavy D / McGruff,pop rap,Waterbed Hev
Van Halen,heavy metal,The Best Of Both Worlds
Black Eyed Peas,hip hop,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness
Nine Inch Nails,industrial metal,Things Falling Apart
Nick Cave & The Bad Seeds,rock,Your Funeral... My Trial (2009 Digital Remaster)
Nadine Renee,freestyle,Oasis of Love
Lesley Gore,brill building pop,60's Triple set
Smartbomb,melodic hardcore,Yeah.  Well_ Anyway....
Suburbs,british pop,Un Titre de Toune
Emperor,heavy metal,Live Inferno
Julien Clerc,chanson,Vendredi 13 - 1981
Glen Campbell,country rock,Unconditional Love
T.G. Sheppard,country rock,The Very Best Of
Slim Whitman,folk-pop,Country Lovers. Vol. 3
Savage Garden,easy listening,Affirmation
Queens Of The Stone Age,stoner metal,Lullabies To Paralyze
Hank Penny & The Lincoln Penny Orchestra,western swing,It's War Again
Inspiral Carpets,indie rock,The Singles
Borialis,rap rock,What You Thought You Heard
The Dirty Skirts,indie rock,Daddy Don't Disco
Flor Silvestre,ranchera,15 Exitos Vol. 2 Flor Silvestre
BA(c)zu,chanson,"Le top du pA""re NAPel"
Redman,hip hop,Malpractice
Solistiyhtye Suomi,german pop,20 Suosikkia / Rilluttele yAP
Eddie Cantor,easy listening,The Fabulous Eddie Cantor
Schizoid,breakcore,Grim Prospects Remixes - Grim Prospects Will Never End
Kai Winding,hard bop,The Incredible Kai Winding Trombones
Sonny Simmons,free jazz,Staying on the Watch
Mira,shoegaze,Openbare Weg
Citizen Kaned,chill-out,Tip World Singles 2000
The Brooklyn Tabernacle Choir,gospel,Praise Him...Live!
Ellen McIlwaine,blues-rock,Spontanous Combustion
Vince Guaraldi / Bola Sete,latin jazz,From All Sides
Maurice Chevalier,chanson,Maurice Chevalier  The Essential Collection Vol 1
Carl Cox Vs Yousef,tech house,Dave Pearce Best of the Dance Years 1988 - 1992
Organized Konfusion,hip hop,The Equinox
Martina McBride,country,Timeless
Horace Andy,roots reggae,Feel Good All Over: Anthology 1970-1976
Nazz,freakbeat,13th And Pine
Tyrone Davis,chicago soul,Call Tyrone
Hot Tuna,blues-rock,Final Vinyl
Richard Burton,jazz fusion,Fifteen Poems By Dylan Thomas
Rory Block,delta blues,The Early Tapes 1975-1976
Boyz II Men,new jack swing,Legacy
Howard Armstrong,piedmont blues,Louie Bluie Film Soundtrack
Donny Hathaway,jazz funk,Donny Hathaway
Miguel Gallardo,male vocalist,Canciones De Amor De Miguel Gallardo
Les Ogres De Barback,chanson,Irfan_ le hA(c)ros
DJ X-Change featuring DJ Joey A,ghetto tech,What up Detroit
Morel,dance pop,Peterbilt Angel
Tony Joe White,country rock,Homemade Ice-Cream
Wolfmother,stoner metal,White Feather
The Roches,singer-songwriter,Can We Go Home Now
Bob Margolin,blues-rock,In North Carolina
Thomas Battenstein,guitar,Wintertime
Jupiter Rising,pop rap,Electropop
Dharma Bums,progressive house,DUMB: 4-track cassette recordings (1987)
Saafir,hip hop,The Hit List
The Verve Pipe,post-grunge,Underneath
Bob Neuwirth,singer-songwriter,99 Monkeys
Marvin Sapp,gospel,Nothing Else Matters
James Hunter,blue-eyed soul,A Tribute to The American Horse
Nelson Ned,latin jazz,Mis Momentos
Mish Mash,vocal house,Mish Mash_ Le Blues European: Musique Slave Et Klezmer
Cama,los angeles,In this Life
Maxi Priest,lovers rock,Best Of Maxi Priest
Porcupine Tree,experimental rock,Signify (Special Edition)
Ragheb Alama,arabesque,Bravo Alayki Rare recording
Foo Fighters,grunge,In Your Honor
Shakira Featuring Wyclef Jean,dance pop,Essential R&B Hit Selection
The Avengers,rock,20 Suosikkia / Rautalankaklassikot / Kolme kitaraa
Robben Ford,blues-rock,Talk To Your Daughter
Brazilian Tropical Orchestra,bossa nova,American Songbook - Bacharach
Gil Semedo,zouk,Nha VitA3ria
Soda Stereo,rock,Gira Me VerA!s Volver
Xmilk,thrash core,Scarcity
Dolce; Oscar G.,folk-pop,Fire
Britt Nicole,ccm,Hanging On (Premiere Performance Plus Track)
Schizoid,breakcore,Grim Prospects Remixes - Prospects Are Getting Grimmer
Toni Braxton Featuring Shaggy,dance pop,Snowflakes
Perrey And Kingsley,easy listening,The Out Sound From Way In!
Sven Tasnadi,tech house,El Fuego De Dentro
Eddie,frevo,No Control
Enthroned,black metal,Pentagrammaton
Suzanne Ciani,meditation,Pianissimo
Milan Band,serialism,Milan Milan
Johnny Osbourne,roots reggae,Auralux Reggae Showcase
Dolly Parton,bluegrass,Heaven
Rance Allen Group,jazz funk,Up Above My Head
Pearl Jam,grunge,Pearl Jam
Natalie Cole,vocal jazz,Take A Look
Mastodon,alternative metal,Crack The Skye
Kiril Valeri,flamenco,Behind The Blue
Word,blues-rock,Matumago X Press
DJ Quik,gangster rap,The Best of DJ Quik - Da Finale
Hank Locklin,honky tonk,RCA Country Legends
BT,electronica,LOOK (Original Motion Picture Soundtrack)
2-4 Grooves feat. Reki D.,vocal house,Relax
The Jordanaires,country gospel,Joy In Our Hearts - The Gospel Side Of The Jordanaires
Descendents,hardcore punk,Enjoy!
L.A. Guns,heavy metal,A Nite On The Strip - Live
Bare Jr.,post-grunge,Boo-Tay
Shelley Fabares,brill building pop,The Best Of Shelley Fabares [Digital Version]
Norrie Paramor,easy listening,In London_ In Love
Gary Hobbs,tejano,Of My Times
Diesel Boy,pop rock,Venus Envy
Angelo Badalamenti,chill-out,Freddy's Favorites: The Best of A Nightmare On Elm Street
Cradle Of Filth,sympho black metal,Bitter Suites to Succubi
Jim Chappell,chamber jazz,Manila Nights
Ladybug,dancehall,Snapshot
Bandido,hard house,End Of The Road - Single
Brixx,rap,7 Miles
Nine Inch Nails,industrial metal,Things Falling Apart
Susana Seivane,gaita,Os soA+-os que volven
Leland Martin,honky tonk,Leland Martin
Test Icicles,grime,For Screening Purposes Only
Heaven 17,new romantic,Endless
React,happy hardcore,That Which Does Not Kill You...Can Only Make You Stronger : Three Way Split
Sven Tasnadi,tech house,Break The Night
Mance Lipscomb,texas blues,Texas Songster
Scott Wesley Brown,modern rock,The Scott Wesley Brown Collection: A Library of 35 Favorite Songs
FlA!vio JosA(c),brazil,Seu Olhar NAPSo Mente
