title,authors,language_code,num_pages,category
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,eng,652,large
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,eng,870,large
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,eng,352,medium
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,eng,435,large
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,eng,2690,large
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,eng,3342,large
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,eng,815,large
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,eng,815,large
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,eng,215,medium
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,eng,6,short
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,eng,815,large
A Short History of Nearly Everything,Bill Bryson,eng,544,large
In a Sunburned Country,Bill Bryson,eng,335,medium
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,eng,1728,large
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,eng,1184,large
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,eng,398,medium
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,eng,218,medium
The Lord of the Rings: Complete Visual Companion,Jude Fisher,eng,224,medium
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,eng,48,short
Molly Hatchet - 5 of the Best,Molly Hatchet,eng,56,short
The Changeling Sea,Patricia A. McKillip,eng,137,short
The Changeling,Zilpha Keatley Snyder,eng,228,medium
Artesia: Adventures in the Known World,Mark Smylie,eng,352,medium
The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,eng,416,large
Heirs of General Practice,John McPhee,eng,128,short
Annals of the Former World,John McPhee,eng,720,large
Coming Into the Country,John McPhee,eng,448,large
Giving Good Weight,John McPhee,eng,288,medium
Rising from the Plains,John McPhee,eng,208,medium
